Target Distance: 100, Step Size: 4
0: (x, y) = (0, 0)
1: (x, y) = (3.39219, -2.11968)
2: (x, y) = (7.28967, -1.21987)
3: (x, y) = (4.77239, 1.88871)
4: (x, y) = (7.12353, -1.34736)
5: (x, y) = (10.8579, -2.78083)
6: (x, y) = (6.85846, -2.71102)
7: (x, y) = (6.37099, 1.25917)
8: (x, y) = (4.19243, 4.61385)
9: (x, y) = (0.311247, 5.58154)
10: (x, y) = (-3.42308, 7.01501)
11: (x, y) = (-1.3034, 10.4072)
12: (x, y) = (-5.20088, 9.5074)
13: (x, y) = (-8.02931, 6.67897)
14: (x, y) = (-9.78279, 10.2741)
15: (x, y) = (-7.37553, 7.0796)
16: (x, y) = (-10.9073, 8.95749)
17: (x, y) = (-7.88848, 6.33325)
18: (x, y) = (-8.72013, 2.42066)
19: (x, y) = (-4.74994, 1.93318)
20: (x, y) = (-1.64136, -0.584097)
21: (x, y) = (-5.60243, -0.0274045)
22: (x, y) = (-2.40789, 2.37986)
23: (x, y) = (-6.28907, 1.41217)
24: (x, y) = (-3.18049, 3.92945)
25: (x, y) = (-2.41725, 7.85596)
26: (x, y) = (1.5335, 7.23022)
27: (x, y) = (4.31213, 10.1076)
28: (x, y) = (1.33955, 12.7841)
29: (x, y) = (4.73175, 10.6644)
30: (x, y) = (8.73175, 10.6644)
31: (x, y) = (11.8838, 8.20178)
32: (x, y) = (10.0678, 4.63775)
33: (x, y) = (6.71315, 6.81631)
34: (x, y) = (10.4475, 5.38284)
35: (x, y) = (13.3729, 2.65484)
36: (x, y) = (17.0549, 1.09192)
37: (x, y) = (20.837, -0.210353)
38: (x, y) = (16.9558, -1.17804)
39: (x, y) = (20.0644, 1.33924)
40: (x, y) = (23.341, 3.63355)
41: (x, y) = (20.9898, 6.86961)
42: (x, y) = (20.8502, 2.87205)
43: (x, y) = (24.7314, 3.83974)
44: (x, y) = (24.3828, 7.82452)
45: (x, y) = (28.2279, 8.92707)
46: (x, y) = (24.2303, 8.78747)
47: (x, y) = (21.4517, 5.91011)
48: (x, y) = (21.2423, 1.91559)
49: (x, y) = (18.365, 4.69423)
50: (x, y) = (17.9468, 0.716138)
51: (x, y) = (18.9145, -3.16505)
52: (x, y) = (18.9145, 0.834955)
53: (x, y) = (21.0342, 4.22715)
54: (x, y) = (17.095, 4.92174)
55: (x, y) = (15.9255, 8.74696)
56: (x, y) = (14.8902, 12.6107)
57: (x, y) = (18.8896, 12.6805)
58: (x, y) = (22.4848, 10.927)
59: (x, y) = (25.9134, 12.9871)
60: (x, y) = (29.911, 13.1267)
61: (x, y) = (29.5624, 17.1115)
62: (x, y) = (26.734, 19.9399)
63: (x, y) = (29.0283, 16.6633)
64: (x, y) = (30.7187, 20.2886)
65: (x, y) = (31.8213, 24.1336)
66: (x, y) = (28.1393, 22.5707)
67: (x, y) = (30.2589, 25.9629)
68: (x, y) = (34.2535, 25.7535)
69: (x, y) = (34.8792, 29.7043)
70: (x, y) = (36.9394, 26.2756)
71: (x, y) = (34.2114, 23.3502)
72: (x, y) = (35.9018, 26.9754)
73: (x, y) = (37.962, 23.5468)
74: (x, y) = (35.6108, 26.7828)
75: (x, y) = (32.9866, 23.764)
76: (x, y) = (36.8992, 22.9324)
77: (x, y) = (40.8937, 23.1417)
78: (x, y) = (37.2685, 21.4512)
79: (x, y) = (41.1497, 20.4835)
80: (x, y) = (40.5239, 16.5328)
81: (x, y) = (39.5562, 12.6516)
82: (x, y) = (38.8616, 8.71237)
83: (x, y) = (42.7742, 7.88072)
84: (x, y) = (40.4799, 4.60411)
85: (x, y) = (37.7013, 7.48147)
86: (x, y) = (36.9381, 11.408)
87: (x, y) = (34.3138, 8.38914)
88: (x, y) = (36.7211, 11.5837)
89: (x, y) = (38.4116, 7.95845)
90: (x, y) = (40.9288, 4.84987)
91: (x, y) = (44.6376, 6.3483)
92: (x, y) = (40.6868, 5.72256)
93: (x, y) = (40.1993, 1.75237)
94: (x, y) = (43.5915, -0.367304)
95: (x, y) = (46.0542, -3.51935)
96: (x, y) = (45.7752, -7.5096)
97: (x, y) = (49.7746, -7.57941)
98: (x, y) = (47.596, -10.9341)
99: (x, y) = (45.596, -14.3982)
100: (x, y) = (43.7181, -10.8664)
101: (x, y) = (43.7181, -14.8664)
102: (x, y) = (40.6993, -12.2422)
103: (x, y) = (40.0735, -16.1929)
104: (x, y) = (41.6365, -19.8749)
105: (x, y) = (45.2005, -18.059)
106: (x, y) = (42.1363, -20.6301)
107: (x, y) = (39.2109, -23.3581)
108: (x, y) = (35.4766, -21.9247)
109: (x, y) = (37.2925, -25.4887)
110: (x, y) = (33.5105, -24.1864)
111: (x, y) = (33.8591, -28.1712)
112: (x, y) = (29.8688, -28.4502)
113: (x, y) = (29.3121, -24.4891)
114: (x, y) = (25.848, -22.4891)
115: (x, y) = (29.7988, -21.8634)
116: (x, y) = (30.0778, -17.8731)
117: (x, y) = (26.3435, -16.4397)
118: (x, y) = (27.0381, -12.5004)
119: (x, y) = (29.2166, -9.14576)
120: (x, y) = (25.2774, -8.45117)
121: (x, y) = (28.5936, -10.6879)
122: (x, y) = (25.5294, -13.2591)
123: (x, y) = (24.2271, -9.47702)
